"ID","ISDELETED","MASTERRECORDID","NAME","TYPE","RECORDTYPEID","PARENTID","BILLINGSTREET","BILLINGCITY","BILLINGSTATE","BILLINGPOSTALCODE","BILLINGCOUNTRY","BILLINGSTATECODE","BILLINGCOUNTRYCODE","BILLINGLATITUDE","BILLINGLONGITUDE","BILLINGGEOCODEACCURACY","BILLINGADDRESS","SHIPPINGSTREET","SHIPPINGCITY","SHIPPINGSTATE","SHIPPINGPOSTALCODE","SHIPPINGCOUNTRY","SHIPPINGSTATECODE","SHIPPINGCOUNTRYCODE","SHIPPINGLATITUDE","SHIPPINGLONGITUDE","SHIPPINGGEOCODEACCURACY","SHIPPINGADDRESS","PHONE","FAX","ACCOUNTNUMBER","WEBSITE","PHOTOURL","SIC","INDUSTRY","ANNUALREVENUE","NUMBEROFEMPLOYEES","OWNERSHIP","TICKERSYMBOL","DESCRIPTION","RATING","SITE","OWNERID","CREATEDDATE","CREATEDBYID","LASTMODIFIEDDATE","LASTMODIFIEDBYID","SYSTEMMODSTAMP","LASTACTIVITYDATE","LASTVIEWEDDATE","LASTREFERENCEDDATE","JIGSAW","JIGSAWCOMPANYID","ACCOUNTSOURCE","SICDESC","JOB_TITLE__C","VD_ABN__C","VD_ACN__C","VD_ANNUAL_REVENUE__C","VD_DATE_OF_LAST_ENERGY_AUDIT__C","VD_DESCIPTION__C","VD_DO_YOU_USE_AN_ENERGY_BROKER__C","VD_ENERGY_BROKER__C","VD_EXISTING_BANK_FINANCIER__C","VD_FINANCE_SOLUTION_PROVIDER__C","VD_HEAD_OFFICE__C","VD_NO_OF_PROPERTIES__C","VD_TYPE__C","VD_WHEN_WAS_THE_NETWORK_TARIFF_DEMAND__C","I__DAYSSINCELASTMAIL__C","I__LASTINBOUNDMAIL__C","I__LASTINBOUNDSENT__C","I__LASTINBOUNDTIME__C","I__LASTMAILSENT__C","I__LASTMAILTIMEDELTA__C","I__LASTMAILTIME__C","I__LASTMAIL__C","I__LASTOUTBOUNDMAIL__C","I__LASTOUTBOUNDSENT__C","I__LASTOUTBOUNDTIME__C","NUMBER_OF_OPPORTUNITIES__C","UNIQUE_ACCOUNT_NUMBER__C","INCENTIVE_APPROVED__C","ACCOUNT_LEAD_RECORD_TYPE_HIDDEN__C","STATES_WHERE_THE_PARTNER_CAN_WORK__C","INSURANCE_PI__C","INSURANCE_PI_AMOUNT__C","INSURANCE_PI_EXPIRY_DATE__C","INSURANCE_PL__C","INSURANCE_PL_AMOUNT__C","INSURANCE_PL_EXPIRY_DATE__C","PARTNER_REVIEW_DATE__C","ISO_ACCREDITATION_9001_COMPLETED__C","ISO_ACCREDITATION_9001_EXPIRY_DATE__C","ISO_ACCREDITATION_18001_COMPLETED__C","ISO_ACCREDITATION_18001_EXPIRY_DATE__C","ISO_ACCREDITATION_14001_COMPLETED__C","ISO_ACCREDITATION_14001_EXPIRY_DATE__C","ISO_ACCREDITATION_50015_COMPLETED__C","ISO_ACCREDITATION_50015_EXPIRY_DATE__C","SALESPEOPLE_ARE_TRAINED__C","RFQ_EMAIL_ADDRESS__C","XERO_ACCOUNT_ID__C","ACCOUNT_ID__C","ACCOUNTS__C","INDUSTRY_SUB_SECTOR__C","PARTNERS_SOLUTION_TYPE__C","SOLUTIONS_OFFERED_BY_PARTNER__C","PARTNER_SERVICES_OFFERED__C","PARTNER_ROLE_APPROVED_FOR_BY_VERDIA__C","ANNUAL_REVENUE_FY__C","FORECAST_REVENUE_FY__C","FORECAST_REVENUE__C","VD_EMAIL_ADDRESS__C"
"0010K00001bZxp9QAC","false","","Schiavello","","01228000000tlZMAAY","","1 Sharps Road","Tullamarine","Victoria","3043","Australia","VIC","AU","","","","","","","","","Australia","","AU","","","","","","","","","/services/images/photo/0010K00001bZxp9QAC","","","","","","","","","","00528000003tRXTAA2","2017-10-27T04:46:55.000Z","00528000003tRXTAA2","2020-02-24T02:41:02.000Z","00528000003tCU2AAM","2020-02-24T02:41:02.000Z","2020-02-24","","","","","","","","","","","","","","","","","1 Sharps Road Tullamarine","","","","","","","","","","","","","","","1.0","1710-1230","","","","","","","","","","","","","","","","","","","","","","0010K00001bZxp9","1.0","","","","","","","","",""
"0010K00001bZxqNQAS","false","","New Age Caravans","","01228000000tlZMAAY","","29 Shirley Way","Epping","Victoria","3076","Australia","VIC","AU","","","","","","","","","Australia","","AU","","","","","","","","","/services/images/photo/0010K00001bZxqNQAS","","Manufacturing","","","","","","","","00528000003tRXTAA2","2017-10-27T04:51:16.000Z","00528000003tRXTAA2","2018-10-24T02:22:44.000Z","00528000003tCU2AAM","2018-10-24T02:22:44.000Z","","","","","","","","","","","","","","","","","","29 Shirley Way Epping","","","","","","","","","","","","","","","","1710-1231","","","","","","","","","","","","","","","","","","","","","","0010K00001bZxqN","1.0","","","","","","","","",""
"0010K00001baUewQAE","false","","CRD Properties Pty Ltd","","01228000000tlZMAAY","","358 Whitehorse Road","Nunawading1","Victoria","3131","Australia","VIC","AU","","","","","","","","","Australia","","AU","","","","","03 8878 9111","","","","/services/images/photo/0010K00001baUewQAE","","Manufacturing","","","Private","","","","","00528000001zO6NAAU","2017-10-31T02:01:36.000Z","00528000001zO6NAAU","2018-10-24T02:22:44.000Z","00528000003tCU2AAM","2018-10-24T02:22:44.000Z","","","","","","","","","83735756958","","","","","","","Westpac","","Whitehorse Rd, Nunawading VIC 3131","","","","","","","","","","","","","","","","1710-1232","","","","","","","","","","","","","","","","","","","","","","0010K00001baUew","1.0","","","","","","","","","david@ephgroup.com.au"
"0010K00001baUfLQAU","false","","Clarke Road Developments Pty Ltd","","01228000000tlZMAAY","","PO Box 4349","Knox City Centre","Victoria","3152","Australia","VIC","AU","","","","","","","","","Australia","","AU","","","","","0431 467 733","","","","/services/images/photo/0010K00001baUfLQAU","","Manufacturing","","","Private","","","","","00528000001zO6NAAU","2017-10-31T02:03:53.000Z","00528000001zO6NAAU","2018-10-24T02:22:44.000Z","00528000003tCU2AAM","2018-12-13T23:34:02.000Z","2018-12-14","","","","","","","","99166902389","","","","","","","","","PO Box 4349 Knox City Centre, Vic 3152","","","","","","","","","","","","","","","7.0","1710-1233","","","","","","","","","","","","","","","","","","","","","187aefdf-bcbc-44e2-9149-13ecb7f411ec","0010K00001baUfL","1.0","","","","","","","","","craig@progressearth.com.au"
"0010K00001baducQAA","false","","Combat Australia","","01228000000tlZMAAY","","51 Cassola place","Penrith","New South Wales","2750","Australia","NSW","AU","","","","","","","","","Australia","","AU","","","","","","","","","/services/images/photo/0010K00001baducQAA","","Services","","","","","","","","00528000004B3GEAA0","2017-10-31T22:00:30.000Z","00528000004B3GEAA0","2018-10-24T02:25:26.000Z","00528000003tCU2AAM","2019-05-15T03:33:14.000Z","2018-12-04","","","","","","","Director","","","","","","","","","","","","Client","","","","","","","","","","","","","2.0","1710-1234","","General Business","","","","","","","","","","","","","","","","","","","","0010K00001baduc","1.0","Retail","","","","","","","",""
"0010K00001bae9eQAA","false","","Oxair Gas Systems Pty Ltd","","01228000000tlZMAAY","","32 Prosperity Avenue","wangara","Western Australia","6065","Australia","WA","AU","","","","","","","","","Australia","","AU","","","","","","","","","/services/images/photo/0010K00001bae9eQAA","","Services","","","","","","","","00528000004yeq1AAA","2017-10-31T22:46:17.000Z","00528000004yeq1AAA","2018-10-24T02:25:26.000Z","00528000003tCU2AAM","2019-05-15T03:33:14.000Z","2018-02-12","","","","","","","","","","","","","","","","","","","Client","","","","","","","","","","","","","1.0","1710-1235","","General Business","","","","","","","","","","","","","","","","","","","","0010K00001bae9e","1.0","Retail","","","","","","","",""
"0010K00001baeytQAA","false","","Lara Sporting Club","","01228000000tlZMAAY","","Mil Road & Ankara Avenue","Lara","Victoria","3212","Australia","VIC","AU","","","","","","","","","Australia","","AU","","","","","","","","","/services/images/photo/0010K00001baeytQAA","","Services","","","","","","","","00528000004yeq1AAA","2017-11-01T00:30:12.000Z","00528000004yeq1AAA","2018-10-24T02:25:26.000Z","00528000003tCU2AAM","2019-05-15T03:33:14.000Z","2018-01-25","","","","","","","","","","","","","","","","","","","Client","","","","","","","","","","","","","1.0","1711-1236","","General Business","","","","","","","","","","","","","","","","","","","","0010K00001baeyt","1.0","Retail","","","","","","","",""
"0010K00001baf69QAA","false","","Midland Physio","","01228000000tlZMAAY","","Units 1 2 3, 401 Great Eastern Hwy","Midland","Western Australia","6056","Australia","WA","AU","","","","","","","","","Australia","","AU","","","","","","","","","/services/images/photo/0010K00001baf69QAA","","Social Infrastructure - Private","","","","","","","","00528000004B3GEAA0","2017-11-01T00:39:03.000Z","00528000004B3GEAA0","2019-03-13T04:27:26.000Z","00528000003tCU2AAM","2019-03-13T04:27:27.000Z","","","","","","","","","25844012798","","","","","","","","","","","Client","","","","","","","","","","","","","1.0","1711-1237","","General Business","","","","","","","","","","","","","","","","","","","","0010K00001baf69","1.0","Day Surgery, GP Clinics & Others","","","","","","","",""
"0010K00001baf6nQAA","false","","Underlay King Pty Ltd","","01228000000tlZMAAY","","39 Gateway Blvd","Epping","Victoria","3076","Australia","VIC","AU","","","","","","","","","Australia","","AU","","","","","","","","","/services/images/photo/0010K00001baf6nQAA","","Services","","","","","","","","00528000004yeq1AAA","2017-11-01T00:40:38.000Z","00528000004yeq1AAA","2018-10-24T02:25:26.000Z","00528000003tCU2AAM","2019-05-15T03:33:14.000Z","2018-03-05","","","","","","","","","","","","Partner is Jarrod Conroy From Roycon","","","","","","","Client","","","","","","","","","","","","","1.0","1711-1238","","General Business","","","","","","","","","","","","","","","","","","","","0010K00001baf6n","1.0","Retail","","","","","","","",""
"0010K00001bafpeQAA","false","","Settlement Hotel","","01228000000tlZMAAY","","","Cranbourne","Victoria","","Australia","VIC","AU","","","","","","","","","Australia","","AU","","","","","","","","","/services/images/photo/0010K00001bafpeQAA","","Services","","","Private","","","","","00528000001zO6NAAU","2017-11-01T01:31:37.000Z","00528000001zO6NAAU","2019-03-15T03:10:21.000Z","00528000003tCU2AAM","2019-05-15T03:33:14.000Z","2018-10-17","","","","","","","Business Owner","","","","","","","","","","","","Client","","","","","","","","","","","","","2.0","1711-1239","","General Business","","","","","","","","","","","","","","","","","","","d8c67040-1264-4603-b092-b6b10e1868f4","0010K00001bafpe","1.0","","","","","","","","",""
"0010K00001baoiOQAQ","false","","Boya Equipment Pty Ltd","","01228000000tlZMAAY","","2 Prestige Parade","Wangara","Western Australia","6065","Australia","WA","AU","","","","","","","","","Australia","","AU","","","","","","","","","/services/images/photo/0010K00001baoiOQAQ","","Services","","","","","","","","00528000004yeq1AAA","2017-11-01T22:00:57.000Z","00528000004yeq1AAA","2018-10-24T02:25:26.000Z","00528000003tCU2AAM","2019-05-15T03:33:14.000Z","2018-02-01","","","","","","","","","","","","","","","","","","","Client","","","","","","","","","","","","","1.0","1711-1240","","General Business","","","","","","","","","","","","","","","","","","","","0010K00001baoiO","1.0","Retail","","","","","","","",""
"0010K00001bardUQAQ","false","","IGA Port Fairy","","01228000000tlZMAAY","","34 Sackville Street","port Fairy","Victoria","3284","Australia","VIC","AU","","","","","","","","","Australia","","AU","","","","","","","","","/services/images/photo/0010K00001bardUQAQ","","Services","","","","","","","","00528000004B3GEAA0","2017-11-02T03:59:14.000Z","00528000004B3GEAA0","2018-10-24T02:25:26.000Z","00528000003tCU2AAM","2019-05-15T03:33:14.000Z","","","","","","","","Director","","","","","","","","","","","","Client","","","","","","","","","","","","","1.0","1711-1241","","General Business","","","","","","","","","","","","","","","","","","","","0010K00001bardU","1.0","Retail","","","","","","","",""
"0010K00001bb4QxQAI","false","","Chris' Dips","","01228000000tlZMAAY","","46 Northgate Drive","Thomastown","Victoria","3074","Australia","VIC","AU","","","","","","","","","Australia","","AU","","","","","03 9463 4000","","","www.chrisdips.com.au","/services/images/photo/0010K00001bb4QxQAI","","Services","","","","","","","","00528000001zO6NAAU","2017-11-03T10:41:13.000Z","00528000001zO6NAAU","2018-10-24T02:25:26.000Z","00528000003tCU2AAM","2019-05-15T03:33:14.000Z","2018-07-10","","","","","","","CFO","","","","","","","","Westpac","","","","Client","","","","","","","","","","","","","1.0","1711-1242","","General Business","","","","","","","","","","","","","","","","","","","","0010K00001bb4Qx","1.0","Manufacturing & Wholesale","","","","","","","",""
"0010K00001bb4l3QAA","false","","JL King","","01228000000tlZMAAY","","93 MacDougall Road","Golden Square","Victoria","3555","Australia","VIC","AU","","","","","","","","","Australia","","AU","","","","","0417 378 136","","","","/services/images/photo/0010K00001bb4l3QAA","","Services","","","","","","","","00528000001zO6NAAU","2017-11-03T11:24:35.000Z","00528000001zO6NAAU","2018-10-24T02:25:26.000Z","00528000003tCU2AAM","2019-05-15T03:33:14.000Z","2017-12-20","","","","","","","Business Owner","","","","","","","","","","","","Client","","","","","","","","","","","","","1.0","1711-1243","","General Business","","","","","","","","","","","","","","","","","","","","0010K00001bb4l3","1.0","Manufacturing & Wholesale","","","","","","","",""
"0010K00001bbCnmQAE","false","","Bar Crusher","","01228000000tlZMAAY","","5 Quality Drive","Dandenong South","Victoria","3175","Australia","VIC","AU","","","","","","","","","Australia","","AU","","","","","","","","","/services/images/photo/0010K00001bbCnmQAE","","Services","","","","","","","","00528000001zO6NAAU","2017-11-04T12:02:22.000Z","00528000001zO6NAAU","2018-10-24T02:25:26.000Z","00528000003tCU2AAM","2019-05-15T03:33:14.000Z","2018-05-09","","","","","","","CFO","","","","","","","","","","","","Client","","","","","","","","","","","","","1.0","1711-1244","","General Business","","","","","","","","","","","","","","","","","","","","0010K00001bbCnm","1.0","Manufacturing & Wholesale","","","","","","","",""
"0010K00001bbM2rQAE","false","","RACV","","01228000000tlZMAAY","","Level , 485 Bourke Street","Melbourne","Queensland","3000","Australia","QLD","AU","","","","","","","","","Australia","","AU","","","","","0397902897","","","www.racv.com.au","/services/images/photo/0010K00001bbM2rQAE","","Services","","","","","","","","00528000003727tAAA","2017-11-05T21:08:37.000Z","00528000003727tAAA","2018-10-24T02:25:26.000Z","00528000003tCU2AAM","2019-05-15T03:33:14.000Z","2017-12-07","","","","","","","","44004060833","","","","","","","","","Melbourne","","Client","","","","","","","","","","","","","1.0","1711-1245","","General Business","","","","","","","","","","","","","","","","","","","8a3ab1e6-6b76-4143-b6a0-174ff91dd5fd","0010K00001bbM2r","1.0","Retail","","","","","","","",""
"0010K00001bbM3hQAE","false","","Immanuel Lutheran College","","01228000000tlZMAAY","","126-142 Wises Road","Buderim","Queensland","4556","Australia","QLD","AU","","","","","","","","","Australia","","AU","","","","","07 5477 3444","","","https://www.immanuel.qld.edu.au/","/services/images/photo/0010K00001bbM3hQAE","","Education","","","","","","","","00528000003727tAAA","2017-11-05T21:14:38.000Z","00528000003727tAAA","2017-11-05T21:15:20.000Z","00528000003727tAAA","2019-03-13T05:19:58.000Z","","","","","","","","","","","","","","","","","","","","Client","","","","","","","","","","","","","1.0","1711-1246","","General Business","","","","","","","","","","","","","","","","","","","","0010K00001bbM3h","1.0","Education","","","","","","","",""
"0010K00001bbM4wQAE","false","","Bruce Grady","","01228000000tlZMAAY","","258 Musgrave Road","Coopers Plains","Queensland","4108","Australia","QLD","AU","","","","","","","","","Australia","","AU","","","","","","","","","/services/images/photo/0010K00001bbM4wQAE","","Services","","","","","","","","00528000003727tAAA","2017-11-05T21:21:22.000Z","00528000003727tAAA","2018-10-24T02:25:26.000Z","00528000003tCU2AAM","2019-05-15T03:33:14.000Z","","","","","","","","","","","","","","","","","","","","Client","","","","","","","","","","","","","1.0","1711-1247","","General Business","","","","","","","","","","","","","","","","","","","","0010K00001bbM4w","1.0","Manufacturing & Wholesale","","","","","","","",""
"0010K00001bbM51QAE","false","","Pinata Farms","","01228000000tlZMAAY","","382 Scurr Rd","Wamuran","Queensland","4512","Australia","QLD","AU","","","","","","","","","Australia","","AU","","","","","","","","","/services/images/photo/0010K00001bbM51QAE","","Agri, Food & Grocery","","","","","","","","00528000003727tAAA","2017-11-05T21:22:14.000Z","00528000003727tAAA","2019-03-14T01:11:42.000Z","00528000003tCU2AAM","2019-03-14T01:11:42.000Z","","","","","","","","","86096377267","","","","-farm and food processing/warehousing
-QLD based but facilities around the country","","","","","","","Client","","","","","","","","","","","","","1.0","1711-1248","","General Business","","","","","","","","","","","","","","","","","","","","0010K00001bbM51","1.0","","","","","","","","",""
"0010K00001bbt2uQAA","false","","Wakehurst Golf Club","","01228000000tlZMAAY","","Upper Clontarf Street","Seaforth","New South Wales","2092","Australia","NSW","AU","","","","","","","","","Australia","","AU","","","","","99493188","","","","/services/images/photo/0010K00001bbt2uQAA","","Services","","0","","","","","","00528000004yeq1AAA","2017-11-08T00:30:36.000Z","00528000004yeq1AAA","2018-10-24T02:25:26.000Z","00528000003tCU2AAM","2019-05-15T03:33:14.000Z","2018-01-19","","","","","","","Executive","","","","","","","","","","","","Client","","","","","","","","","","","","","1.0","1711-1249","","General Business","","","","","","","","","","","","","","","","","","","","0010K00001bbt2u","1.0","Leisure and Hospitality","","","","","","","",""
"0010K00001bbuUzQAI","false","","smoke and Grill","","01228000000tlZMAAY","","","","Western Australia","3000","Australia","WA","AU","","","","","","","","","Australia","","AU","","","","","","","","","/services/images/photo/0010K00001bbuUzQAI","","Services","","","","","","","","00528000004yeq1AAA","2017-11-08T02:25:38.000Z","00528000004yeq1AAA","2018-10-24T02:25:26.000Z","00528000003tCU2AAM","2019-05-15T03:33:14.000Z","2018-05-11","","","","","","","","","","","","","","","","","","","Client","","","","","","","","","","","","","1.0","1711-1250","","General Business","","","","","","","","","","","","","","","","","","","","0010K00001bbuUz","1.0","Retail","","","","","","","",""
