Ancillary Network Services,*Description
,WREF Water Exempt Filtered
,WRM Water Mines
,WRU Water Commercial Unfiltere
,WREC Water Exempt Charities
,WREP Water Exempt Pipelines
,WREU Water Exempt Unfiltered
,WAP Access Pipeline
,WAC Access Commercial
,WAR Access Residential
,WRC Water Commercial Filtered
,WRR Water Residential
,WAM Access Mines
,Solicitor Enquiry (Water)
